CODIGO,MUNICIPIO,POVERTY,FPS NUMBER,SUBSIDY NUMBER
01101,IQUIQUE,"6,18",44221,4229
01107,ALTO HOSPICIO,"10,25",30311,7439
01401,POZO ALMONTE,"12,33",3876,630
01402,CAMIÑA,"35,26",413,109
01403,COLCHANE,"33,76",273,89
01404,HUARA,"21,54",815,463
01405,PICA,"20,41",1677,357
02101,ANTOFAGASTA,"3,58",70270,4480
02102,MEJILLONES,"6,93",2999,179
02103,SIERRA GORDA,"13,84",420,156
02104,TALTAL,"6,33",3479,315
02201,CALAMA,"3,84",29842,1115
02202,OLLAGÜE,"23,51",60,0
02203,SAN PEDRO DE ATACAMA,"14,5",2043,218
02301,TOCOPILLA,"3,12",9160,7844
02302,MARÍA ELENA,"8,44",696,405
03101,COPIAPÓ,"5,28",35228,5341
03102,CALDERA,"8,23",5284,697
03103,TIERRA AMARILLA,"9,66",4534,1272
03201,CHAÑARAL,"10,74",3927,665
03202,DIEGO DE ALMAGRO,"6,05",3635,360
03301,VALLENAR,"8,73",16714,3193
03302,ALTO DEL CARMEN,"24,67",1562,38
03303,FREIRINA,"10,1",2067,3412
03304,HUASCO,"11,52",3427,420
04101,LA SERENA,"12,77",43380,7800
04102,COQUIMBO,"12,79",51198,11551
04103,ANDACOLLO,"14,89",4071,510
04104,LA HIGUERA,"23,25",1517,NA
04105,PAIGUANO,"17,45",1486,1785
04106,VICUÑA,"24,22",9118,2260
04201,ILLAPEL,"16,39",9171,2147
04202,CANELA,"37,52",2960,736
04203,LOS VILOS,"24,93",6229,1484
04204,SALAMANCA,"19,09",8313,1073
04301,OVALLE,"15,73",31992,5166
04302,COMBARBALÁ,"31,03",5056,934
04303,MONTE PATRIA,"28,73",9959,1994
04304,PUNITAQUI,"25,53",4000,2636
04305,RÍO HURTADO,"36,95",1784,375
05101,VALPARAÍSO,"16,87",69593,14883
05102,CASABLANCA,"19,75",7224,1441
05103,CONCÓN,"8,69",7582,1243
05104,JUAN FERNÁNDEZ,"9,1",285,NA
05105,PUCHUNCAVÍ,"15,1",4547,865
05107,QUINTERO,"18,93",7806,1183
05109,VIÑA DEL MAR,"14,05",68077,11030
05201,ISLA DE PASCUA,"13,3",1741,258
05301,LOS ANDES,"11,9",14307,1782
05302,CALLE LARGA,"15,93",4693,884
05303,RINCONADA,"21,31",2665,643
05304,SAN ESTEBAN,"14,63",4946,853
05401,LA LIGUA,"18,23",10622,1961
05402,CABILDO,"19,35",6726,844
05403,PAPUDO,"9,02",1478,283
05404,PETORCA,"27,57",3357,570
05405,ZAPALLAR,"21,9",1969,702
05501,QUILLOTA,"14,17",25005,8454
05502,CALERA,23,16812,3234
05503,HIJUELAS,"19,14",5759,1222
05504,LA CRUZ,"23,5",4905,717
05506,NOGALES,"16,66",6418,871
05601,SAN ANTONIO,"18,78",25297,4969
05602,ALGARROBO,"9,7",3461,515
05603,CARTAGENA,"22,56",5504,2936
05604,EL QUISCO,"13,65",4478,638
05605,EL TABO,"5,09",3412,700
05606,SANTO DOMINGO,"10,53",2402,329
05701,SAN FELIPE,"12,56",19470,3192
05702,CATEMU,"21,1",4423,676
05703,LLAILLAY,"26,44",8926,1500
05704,PANQUEHUE,"14,07",2273,513
05705,PUTAENDO,"18,95",5415,1133
05706,SANTA MARÍA,27,4808,1038
05801,QUILPUÉ,"9,56",37109,4234
05802,LIMACHE,"25,37",14179,5842
05803,OLMUÉ,"22,83",4999,1058
05804,VILLA ALEMANA,"12,73",25042,4096
06101,RANCAGUA,"13,38",69001,9796
06102,CODEGUA,"18,86",4324,781
06103,COINCO,"17,63",2100,411
06104,COLTAUCO,"14,36",5576,1243
06105,DOÑIHUE,"17,05",4968,757
06106,GRANEROS,"13,41",9666,1830
06107,LAS CABRAS,"27,8",7660,1528
06108,MACHALÍ,"5,72",10790,905
06109,MALLOA,"22,08",4195,5796
06110,MOSTAZAL,"8,36",7404,961
06111,OLIVAR,"15,55",3763,621
06112,PEUMO,"10,26",4602,639
06113,PICHIDEGUA,"23,98",5731,804
06114,QUINTA DE TILCOCO,"19,27",4266,915
06115,RENGO,"20,47",17325,2055
06116,REQUINOA,"12,51",7471,2600
06117,SAN VICENTE,"15,36",14011,2605
06201,PICHILEMU,"15,3",5124,735
06202,LA ESTRELLA,"13,2",1033,NA
06203,LITUECHE,"18,39",2347,492
06204,MARCHIHUE,"16,23",2421,409
06205,NAVIDAD,"20,16",2020,360
06206,PAREDONES,"33,41",2209,492
06301,SAN FERNANDO,"17,44",20721,9572
06302,CHÉPICA,"24,77",4774,2930
06303,CHIMBARONGO,"17,72",9536,2310
06304,LOLOL,"30,9",2173,455
06305,NANCAGUA,"18,96",4975,626
06306,PALMILLA,"22,56",3883,553
06307,PERALILLO,"20,58",3954,1311
06308,PLACILLA,"21,34",2642,300
06309,PUMANQUE,"23,15",1188,155
06310,SANTA CRUZ,"14,67",12785,1070
07101,TALCA,"15,65",53546,6895
07102,CONSTITUCIÓN,"18,7",13500,1727
07103,CUREPTO,"39,81",3531,631
07104,EMPEDRADO,"17,05",1319,513
07105,MAULE,"14,87",14127,2607
07106,PELARCO,"26,52",2514,636
07107,PENCAHUE,"26,5",3036,614
07108,RÍO CLARO,"23,41",4439,1270
07109,SAN CLEMENTE,"24,35",14945,2787
07110,SAN RAFAEL,"20,25",3318,804
07201,CAUQUENES,"30,99",14958,3549
07202,CHANCO,"24,86",3103,848
07203,PELLUHUE,"19,97",2309,4046
07301,CURICÓ,"18,78",40125,3675
07302,HUALAÑÉ,"32,16",3696,417
07303,LICANTÉN,"23,01",2163,413
07304,MOLINA,"25,76",14752,14992
07305,RAUCO,"29,3",3196,2197
07306,ROMERAL,"24,98",4995,1198
07307,SAGRADA FAMILIA,"28,86",5694,927
07308,TENO,"29,34",9426,4405
07309,VICHUQUÉN,"33,91",1405,1600
07401,LINARES,"21,63",29874,3667
07402,COLBÚN,"33,89",7811,1993
07403,LONGAVÍ,"20,52",9283,5737
07404,PARRAL,"29,51",12964,3540
07405,RETIRO,"22,96",6865,1853
07406,SAN JAVIER,"33,98",12192,2968
07407,VILLA ALEGRE,"28,07",5809,1366
07408,YERBAS BUENAS,"29,89",5805,1582
08101,CONCEPCIÓN,"9,74",42512,5755
08102,CORONEL,"20,31",32322,7784
08103,CHIGUAYANTE,"13,88",19820,3878
08104,FLORIDA,"32,09",2836,824
08105,HUALQUI,"29,06",7199,2056
08106,LOTA,"20,2",16719,3279
08107,PENCO,"21,47",16351,3215
08108,SAN PEDRO DE LA PAZ,"23,32",22081,2260
08109,SANTA JUANA,"25,18",4355,829
08110,TALCAHUANO,"15,26",44666,4595
08111,TOMÉ,"23,01",17421,2785
08112,HUALPÉN,"12,95",32512,4302
08201,LEBU,"30,54",9462,5903
08202,ARAUCO,"20,32",11221,2866
08203,CAÑETE,"44,67",10090,3713
08204,CONTULMO,"27,97",2066,0
08205,CURANILAHUE,"17,96",11556,2223
08206,LOS ÁLAMOS,"24,66",6893,6285
08207,TIRÚA,"36,91",3404,1621
08301,LOS ÁNGELES,"25,1",51014,8239
08302,ANTUCO,"33,27",1416,3670
08303,CABRERO,"31,4",8350,1417
08304,LAJA,"22,67",6085,1802
08305,MULCHÉN,"26,9",9369,7010
08306,NACIMIENTO,"30,07",7873,1997
08307,NEGRETE,38,3300,2638
08308,QUILACO,"27,61",1335,911
08309,QUILLECO,"34,27",3132,566
08310,SAN ROSENDO,"25,41",1249,914
08311,SANTA BÁRBARA,"30,96",4574,863
08312,TUCAPEL,"29,03",5613,1263
08313,YUMBEL,"22,03",6775,1828
08314,ALTO BIOBÍO,"59,74",2040,3021
08401,CHILLÁN,"22,55",45415,8320
08402,BULNES,"31,3",7236,1636
08403,COBQUECURA,"36,47",1850,NA
08404,COELEMU,"22,54",5132,2065
08405,COIHUECO,40,7466,2224
08406,CHILLÁN VIEJO,"21,75",8814,2194
08407,EL CARMEN,"37,8",4050,1192
08408,NINHUE,"43,89",2013,300
08409,ÑIQUÉN,"33,19",3702,1012
08410,PEMUCO,"29,8",2947,468
08411,PINTO,"33,71",3596,966
08412,PORTEZUELO,"30,06",1720,415
08413,QUILLÓN,"26,32",5803,1302
08414,QUIRIHUE,"30,02",4296,3385
08415,RÁNQUIL,"29,82",2242,2463
08416,SAN CARLOS,"33,38",16767,11544
08417,SAN FABIÁN,"35,83",1617,2573
08418,SAN IGNACIO,"39,33",5563,1566
08419,SAN NICOLÁS,"31,58",4207,592
08420,TREGUACO,"40,42",2022,433
08421,YUNGAY,"30,09",5810,740
09101,TEMUCO,"18,4",66127,14968
09102,CARAHUE,"41,91",8055,NA
09103,CUNCO,"34,49",5680,1003
09104,CURARREHUE,"32,99",2954,1030
09105,FREIRE,"34,72",8058,8831
09106,GALVARINO,"35,91",3916,961
09107,GORBEA,"36,1",4861,1277
09108,LAUTARO,"33,42",11112,3173
09109,LONCOCHE,"26,94",7415,2113
09110,MELIPEUCO,"42,48",2201,775
09111,NUEVA IMPERIAL,"50,7",9707,14868
09112,PADRE LAS CASAS,"30,71",20061,5732
09113,PERQUENCO,"50,38",2161,869
09114,PITRUFQUÉN,"26,38",7417,1797
09115,PUCÓN,"23,27",7044,1820
09116,SAAVEDRA,"47,14",4217,1568
09117,TEODORO SCHMIDT,"47,62",5468,1661
09118,TOLTÉN,"46,81",3333,1129
09119,VILCÚN,"33,07",8718,6569
09120,VILLARRICA,"15,68",16672,4378
09121,CHOLCHOL,"35,58",4427,7000
09201,ANGOL,"14,06",15711,9882
09202,COLLIPULLI,"34,24",7600,2313
09203,CURACAUTÍN,"26,6",6040,1977
09204,ERCILLA,"44,33",2774,1223
09205,LONQUIMAY,"57,05",3712,1400
09206,LOS SAUCES,"42,68",2474,926
09207,LUMACO,"48,58",2821,1089
09208,PURÉN,"36,33",4039,895
09209,RENAICO,"28,86",3233,1045
09210,TRAIGUÉN,"30,04",6473,1736
09211,VICTORIA,"21,68",10608,3032
10101,PUERTO MONTT,"15,6",61320,9849
10102,CALBUCO,"30,12",10430,4188
10103,COCHAMÓ,"29,5",1478,372
10104,FRESIA,"39,66",3746,743
10105,FRUTILLAR,"23,42",6387,822
10106,LOS MUERMOS,"21,94",5661,1821
10107,LLANQUIHUE,"15,24",5597,0
10108,MAULLÍN,"19,54",5421,0
10109,PUERTO VARAS,"7,63",10314,1807
10201,CASTRO,"12,45",12424,5669
10202,ANCUD,"16,45",13582,3668
10203,CHONCHI,"17,02",4457,1285
10204,CURACO DE VÉLEZ,33,1139,353
10205,DALCAHUE,15,4838,1088
10206,PUQUELDÓN,"14,47",1238,390
10207,QUEILÉN,"28,39",1888,618
10208,QUELLÓN,"15,76",7923,1530
10209,QUEMCHI,"17,52",2960,921
10210,QUINCHAO,"20,23",2435,319
10301,OSORNO,"17,57",39042,8249
10302,PUERTO OCTAY,"18,56",2844,NA
10303,PURRANQUE,"22,98",6966,1599
10304,PUYEHUE,"23,27",3148,499
10305,RÍO NEGRO,"23,51",4836,1100
10306,SAN JUAN DE LA COSTA,"48,22",2777,944
10307,SAN PABLO,"35,5",3595,918
10401,CHAITÉN,"18,88",1290,983
10402,FUTALEUFÚ,"24,95",782,80
10403,HUALAIHUÉ,"29,5",3057,618
10404,PALENA,"22,5",548,88
11101,COIHAIQUE,"6,35",14638,3188
11102,LAGO VERDE,"17,74",338,37
11201,AISÉN,"8,18",7881,2100
11202,CISNES,"6,35",1945,434
11203,GUAITECAS,"29,5",475,144
11301,COCHRANE,"10,89",1087,207
11302,O´HIGGINS,"17,74",213,70
11303,TORTEL,"26,77",178,26
11401,CHILE CHICO,"6,25",1884,789
11402,RÍO IBÁÑEZ,"9,16",901,174
12101,PUNTA ARENAS,"4,57",27195,1679
12102,LAGUNA BLANCA,"14,7",42,1
12103,RÍO VERDE,"15,81",47,0
12104,SAN GREGORIO,"12,29",116,0
12201,CABO DE HORNOS,"13,47",506,45
12301,PORVENIR,"2,71",2314,84
12302,PRIMAVERA,"9,1",105,0
12303,TIMAUKEL,"17,36",51,2
12401,NATALES,"13,91",6880,3399
12402,TORRES DEL PAINE,"13,3",81,0
13101,SANTIAGO,"6,36",44634,3844
13102,CERRILLOS,"6,81",21266,3804
13103,CERRO NAVIA,"15,38",47243,9420
13104,CONCHALÍ,"10,01",34113,7580
13105,EL BOSQUE,"13,21",40538,5839
13106,ESTACIÓN CENTRAL,"11,47",33001,1686
13107,HUECHURABA,"5,2",18653,3589
13108,INDEPENDENCIA,"14,24",21416,2112
13109,LA CISTERNA,"7,21",17662,1364
13110,LA FLORIDA,"6,9",81089,10057
13111,LA GRANJA,"19,96",37086,8077
13112,LA PINTANA,"17,01",52056,14507
13113,LA REINA,"1,28",10906,615
13114,LAS CONDES,"1,33",30231,804
13115,LO BARNECHEA,"4,22",10483,684
13116,LO ESPEJO,7,28982,4561
13117,LO PRADO,"7,11",30941,5120
13118,MACUL,"6,14",24223,6807
13119,MAIPÚ,"3,88",122325,10256
13120,ÑUÑOA,"0,55",22290,NA
13121,PEDRO AGUIRRE CERDA,"7,97",33468,5850
13122,PEÑALOLÉN,"9,38",40791,9965
13123,PROVIDENCIA,"3,05",9392,70
13124,PUDAHUEL,"9,31",65070,11440
13125,QUILICURA,"9,24",45108,3243
13126,QUINTA NORMAL,"9,45",31988,3823
13127,RECOLETA,"10,73",37585,3054
13128,RENCA,"8,99",41871,20646
13129,SAN JOAQUÍN,"5,62",31823,4185
13130,SAN MIGUEL,"4,56",19675,1606
13131,SAN RAMÓN,"9,61",28579,6199
13132,VITACURA,"0,29",3299,28
13201,PUENTE ALTO,"14,6",128335,9097
13202,PIRQUE,"2,73",4855,447
13203,SAN JOSÉ DE MAIPO,"10,57",3879,672
13301,COLINA,"7,28",27257,7524
13302,LAMPA,"8,47",18084,2966
13303,TILTIL,"9,84",5284,1159
13401,SAN BERNARDO,"17,88",73813,16273
13402,BUIN,"12,07",22300,0
13403,CALERA DE TANGO,"13,39",4492,809
13404,PAINE,"16,7",19884,0
13501,MELIPILLA,"19,46",31076,4856
13502,ALHUÉ,"19,61",1584,124
13503,CURACAVÍ,"7,41",9984,1016
13504,MARÍA PINTO,"13,97",3601,473
13505,SAN PEDRO,"26,05",2525,454
13601,TALAGANTE,"9,77",21113,4707
13602,EL MONTE,"9,58",10257,1614
13603,ISLA DE MAIPO,"15,38",8498,4464
13604,PADRE HURTADO,"13,21",14574,2770
13605,PEÑAFLOR,"8,92",20787,2600
14101,VALDIVIA,"14,6",45496,7959
14102,CORRAL,"24,87",1950,316
14103,LANCO,"36,67",6325,1042
14104,LOS LAGOS,"25,79",5837,920
14105,MÁFIL,"29,88",2292,639
14106,MARIQUINA,"38,18",6557,2303
14107,PAILLACO,"30,4",6801,14777
14108,PANGUIPULLI,"31,89",10165,3492
14201,LA UNIÓN,"23,82",10859,2684
14202,FUTRONO,"23,78",4161,1507
14203,LAGO RANCO,"39,23",3069,952
14204,RÍO BUENO,"24,42",10079,0
15101,ARICA,"14,46",62140,10905
15102,CAMARONES,"22,5",441,200
15201,PUTRE,"29,59",507,108
15202,GENERAL LAGOS,"33,76",203,0
